County,Route,Station ID,Station PM,Station Absolute PM,Latitude,Longitude,Location Type,HPMS AADT,PEMS AADT,PEMS Sum,HPMS - PEMS,Pct Change,Notes
Placer,I80-E,316249,R26.184,127.6,39.002475,-120.994378,Rural,"42,000","20,531.67","41,361.33",639,1.54,
Placer,I80-W,316252,R26.184,127.6,39.00257,-120.994557,Rural,"42,000","20,829.67",,,,
Placer,I80-E,314000,34.447,135.93,39.1143,-120.944187,Rural,"29,800","16,038.50","31,398.58","-1,599",-5.09,
Placer,I80-W,314001,34.447,135.93,39.1143,-120.944187,Rural,"29,800","15,360.08",,,,
Butte,SR99-N,318509,R30.751,376.3,39.716716,-121.802302,Urban,"54,900","18,319.50","31,650.58","23,249",73.46,
Butte,SR99-S,318512,R30.777,376.3,39.717038,-121.802548,Urban,"54,900","13,331.08",,,,
San Joaquin,SR132-E,1092310,2.043,2.78,37.637673,-121.364855,Rural,"13,000","9,547.92","17,715.25","-4,715",-26.62,
San Joaquin,SR132-W,1092510,2.043,2.78,37.637673,-121.364855,Rural,"13,000","8,167.33",,,,
Amador,SR88-E,1012810,14.608,39.98,38.350727,-120.769905,Urban,"9,050","4,465.17","8,620.83",429,4.98,
Amador,SR88-W,1012910,14.608,39.98,38.350727,-120.769905,Urban,"9,050","4,155.67",,,,
El Dorado,US50-W,316712,9.616,38.16,38.67248,-120.923125,Rural,"57,000","28,645.11","57,337.61",-338,-0.59,Incomplete
El Dorado,US50-E,316708,9.621,38.16,38.672537,-120.923067,Rural,"57,000","28,692.50",,,,
Contra Costa,SR160-N,402071,0.86,0.86,38.017404,-121.751506,Urban,"13,300","13,434.83","24,557.33","-11,257",-45.84,dup?
Contra Costa,SR160-S,402070,0.86,0.86,38.017404,-121.751506,Urban,"13,300","11,122.50",,,,
Calaveras,SR49-N,1010210,6.514,87.63,38.058969,-120.535958,Rural,"6,350","3,036.64","6,073.91",276,4.55,Incomplete
