OBJECTID,ORIG_FID,Shape_Length,Shape_Area,Longitude,Latitude
1,1,0,0,-115.9960711,32.7249661
2,1,0,0,-115.9960913,32.72475326
3,1,0,0,-115.9961115,32.72454043
4,1,0,0,-115.9961317,32.72432759
5,1,0,0,-115.9961519,32.72411475
6,1,0,0,-115.9961721,32.72390192
7,1,0,0,-115.9961923,32.72368908
8,1,0,0,-115.9962125,32.72347624
9,1,0,0,-115.9962327,32.72326341
10,1,0,0,-115.9962529,32.72305057
11,1,0,0,-115.9962731,32.72283774
12,1,0,0,-115.9962933,32.7226249
13,1,0,0,-115.9963135,32.72241206
14,1,0,0,-115.9963337,32.72219923
15,1,0,0,-115.9963539,32.72198639
16,1,0,0,-115.9963741,32.72177355
17,1,0,0,-115.9963943,32.72156072
18,1,0,0,-115.9964145,32.72134788
19,1,0,0,-115.9964347,32.72113504
20,1,0,0,-115.9964549,32.72092221
21,1,0,0,-115.9964751,32.72070937
22,1,0,0,-115.9964953,32.72049653
23,1,0,0,-115.9965155,32.7202837
24,1,0,0,-115.9965357,32.72007086
25,1,0,0,-115.9965559,32.71985802
26,1,0,0,-115.9965761,32.71964519
27,1,0,0,-115.9965963,32.71943235
28,1,0,0,-115.9966165,32.71921951
29,1,0,0,-115.9966367,32.71900668
30,1,0,0,-115.9966569,32.71879384
31,1,0,0,-115.9966771,32.718581
32,1,0,0,-115.9966973,32.71836817
33,1,0,0,-115.9967175,32.71815533
34,1,0,0,-115.9967377,32.71794249
35,1,0,0,-115.9967579,32.71772966
36,1,0,0,-115.9967781,32.71751682
37,1,0,0,-115.9967983,32.71730398
38,1,0,0,-115.9968185,32.71709115
39,1,0,0,-115.9968387,32.71687831
40,1,0,0,-115.9968589,32.71666547
41,1,0,0,-115.9968791,32.71645264
42,1,0,0,-115.9968993,32.7162398
43,1,0,0,-115.9969195,32.71602697
44,1,0,0,-115.9971289,32.71603692
45,1,0,0,-115.9973422,32.71605139
46,1,0,0,-115.9975556,32.71606585
47,1,0,0,-115.9977689,32.71608031
48,1,0,0,-115.9979822,32.71609478
49,1,0,0,-115.9981955,32.71610924
50,1,0,0,-115.9984087,32.71612403
51,1,0,0,-115.9986219,32.7161402
52,1,0,0,-115.9988351,32.71615653
53,1,0,0,-115.9990483,32.71617287
54,1,0,0,-115.9992614,32.7161892
55,1,0,0,-115.9994746,32.71620553
56,1,0,0,-115.9996878,32.71622186
57,1,0,0,-115.9999009,32.7162382
58,1,0,0,-116.0001141,32.71625453
59,1,0,0,-116.0003273,32.71627086
60,1,0,0,-116.0005404,32.71628719
61,1,0,0,-116.0007536,32.71630353
62,1,0,0,-116.0009668,32.71631986
63,1,0,0,-116.0011799,32.71633619
64,1,0,0,-116.0013931,32.71635253
65,1,0,0,-116.0016063,32.71636886
66,1,0,0,-116.0018194,32.71638519
67,1,0,0,-116.0020326,32.71640152
68,1,0,0,-116.0022458,32.71641785
69,1,0,0,-116.0024589,32.71643419
70,1,0,0,-116.0026721,32.71645052
71,1,0,0,-116.0028853,32.71646685
72,1,0,0,-116.0030985,32.71648318
73,1,0,0,-116.0033116,32.71649952
74,1,0,0,-116.0035248,32.71651557
75,1,0,0,-116.003738,32.71653104
76,1,0,0,-116.0039513,32.7165465
77,1,0,0,-116.0041645,32.71656197
78,1,0,0,-116.0043777,32.71657743
79,1,0,0,-116.004591,32.7165929
80,1,0,0,-116.0048042,32.71660836
81,1,0,0,-116.0050174,32.71662383
82,1,0,0,-116.0052307,32.71663929
83,1,0,0,-116.0054439,32.71665476
84,1,0,0,-116.0056571,32.71667022
85,1,0,0,-116.0058704,32.71668569
86,1,0,0,-116.0060836,32.71670115
87,1,0,0,-116.0062968,32.71671662
88,1,0,0,-116.0065101,32.71673213
89,1,0,0,-116.0067232,32.71674857
90,1,0,0,-116.0069364,32.71676513
91,1,0,0,-116.0071495,32.7167817
92,1,0,0,-116.0073627,32.71679826
93,1,0,0,-116.0075758,32.71681483
94,1,0,0,-116.007789,32.71683139
95,1,0,0,-116.0080021,32.71684796
96,1,0,0,-116.0082153,32.71686452
97,1,0,0,-116.0084284,32.71688109
98,1,0,0,-116.0086416,32.71689765
99,1,0,0,-116.0088547,32.71691422
100,1,0,0,-116.0090679,32.71693078
101,1,0,0,-116.009281,32.71694735
102,1,0,0,-116.0094942,32.71696391
103,1,0,0,-116.0097073,32.71698048
104,1,0,0,-116.0099205,32.71699704
105,1,0,0,-116.0101337,32.71701265
106,1,0,0,-116.0103469,32.71702823
107,1,0,0,-116.0105601,32.71704381
108,1,0,0,-116.0107734,32.71705939
109,1,0,0,-116.0109866,32.71707497
110,1,0,0,-116.0111998,32.71709055
111,1,0,0,-116.011413,32.71710613
112,1,0,0,-116.0116263,32.71712172
113,1,0,0,-116.0118395,32.7171373
114,1,0,0,-116.0120527,32.71715288
115,1,0,0,-116.0122659,32.71716846
116,1,0,0,-116.0124792,32.71718404
117,1,0,0,-116.0126924,32.71719962
118,1,0,0,-116.0129056,32.7172152
119,1,0,0,-116.0131188,32.71723078
120,1,0,0,-116.0133321,32.71724636
121,1,0,0,-116.0135453,32.71726194
122,1,0,0,-116.0137585,32.71727752
123,1,0,0,-116.0139717,32.71729344
124,1,0,0,-116.0141849,32.71730976
125,1,0,0,-116.014398,32.71732608
126,1,0,0,-116.0146112,32.71734241
127,1,0,0,-116.0148244,32.71735873
128,1,0,0,-116.0150376,32.71737505
129,1,0,0,-116.0152507,32.71739137
130,1,0,0,-116.0154639,32.71740769
131,1,0,0,-116.0156771,32.71742401
132,1,0,0,-116.0158902,32.71744033
133,1,0,0,-116.0161034,32.71745665
134,1,0,0,-116.0163166,32.71747297
135,1,0,0,-116.0165297,32.71748929
136,1,0,0,-116.0167429,32.71750561
137,1,0,0,-116.0169561,32.71752193
138,1,0,0,-116.0171693,32.71753727
139,1,0,0,-116.0173826,32.71755202
140,1,0,0,-116.0175959,32.71756677
141,1,0,0,-116.0178092,32.71758152
142,1,0,0,-116.0180225,32.71759627
143,1,0,0,-116.0182357,32.71761102
144,1,0,0,-116.018449,32.71762578
145,1,0,0,-116.0186623,32.71764053
146,1,0,0,-116.0188755,32.71765647
147,1,0,0,-116.0190885,32.71767506
148,1,0,0,-116.0193011,32.71769718
149,1,0,0,-116.0195134,32.71772283
150,1,0,0,-116.0197251,32.71775226
151,1,0,0,-116.0199363,32.71778545
152,1,0,0,-116.0201469,32.71782235
153,1,0,0,-116.0203568,32.71786277
154,1,0,0,-116.0205662,32.71790573
155,1,0,0,-116.0207756,32.7179492
156,1,0,0,-116.0209849,32.71799268
157,1,0,0,-116.0211942,32.71803615
158,1,0,0,-116.0214036,32.71807963
159,1,0,0,-116.0216129,32.71812311
160,1,0,0,-116.0218222,32.71816658
161,1,0,0,-116.0220313,32.71821106
162,1,0,0,-116.0222399,32.71825781
163,1,0,0,-116.0224478,32.71830797
164,1,0,0,-116.0226551,32.71836025
165,1,0,0,-116.0228628,32.71837614
166,1,0,0,-116.0230718,32.71833151
167,1,0,0,-116.0232814,32.7182894
168,1,0,0,-116.0234911,32.71824777
169,1,0,0,-116.0237008,32.71820615
170,1,0,0,-116.0239105,32.71816452
171,1,0,0,-116.0241202,32.71812289
172,1,0,0,-116.0243299,32.71808127
173,1,0,0,-116.0245396,32.71803964
