OBJECTID,ORIG_FID,Shape_Length,Z,Longitude,Latitude
1,1,0,170,-115.9980537,32.71615741
2,1,0,169.9973692,-115.9979634,32.71620089
3,1,0,169.9758691,-115.9978605,32.7162271
4,1,0,169.981645,-115.99776,32.71625918
5,1,0,170.0007046,-115.9976543,32.71625088
6,1,0,169.9983089,-115.9975866,32.71617054
7,1,0,170,-115.9975744,32.71615741
8,2,0,190,-116.0042305,32.71662037
9,2,0,190.0504249,-116.0041344,32.7166404
10,2,0,190,-116.004064,32.71662037
11,3,0,210,-116.0090238,32.71699074
12,3,0,209.9978038,-116.0089468,32.71706489
13,3,0,209.9941242,-116.0088756,32.71714452
14,3,0,210.0003925,-116.0088028,32.71722262
15,3,0,209.9944812,-116.0087304,32.71730118
16,3,0,209.9990706,-116.0086609,32.7173821
17,3,0,209.9974289,-116.0086023,32.71747147
18,3,0,210.004259,-116.0085458,32.71756217
19,3,0,209.9816206,-116.0084891,32.71765278
20,3,0,210.0006338,-116.0084221,32.71773597
21,3,0,209.9915183,-116.0083434,32.71780766
22,3,0,209.9918041,-116.008243,32.71783989
23,3,0,210.0814543,-116.0081393,32.71786137
24,3,0,210.0016943,-116.0080444,32.71784491
25,3,0,209.990142,-116.007947,32.7178018
26,3,0,209.9984923,-116.0078439,32.71777565
27,3,0,209.9992777,-116.0077388,32.71778831
28,3,0,210.0000025,-116.0076377,32.71782271
29,3,0,210.0000557,-116.007531,32.71782556
30,3,0,210.0172068,-116.0074254,32.71780967
31,3,0,209.9856239,-116.0073291,32.71777042
32,3,0,210.004139,-116.0073117,32.71768065
33,3,0,210.0034419,-116.0073741,32.71760059
34,3,0,210.0157788,-116.0074731,32.7175608
35,3,0,209.9886762,-116.0075741,32.71752612
36,3,0,209.9917869,-116.007675,32.71749084
37,3,0,210.0000445,-116.0077738,32.71745226
38,3,0,210.0067117,-116.0078631,32.71739359
39,3,0,210.0035334,-116.0079425,32.71732234
40,3,0,210.001741,-116.0080166,32.71724647
41,3,0,210.0032,-116.0080651,32.71715165
42,3,0,210.0003026,-116.0081001,32.71705096
43,3,0,209.9996324,-116.0081491,32.71695628
44,3,0,210,-116.0081885,32.71689815
45,4,0,190.0000004,-116.0055154,32.71717593
46,4,0,190.0000004,-116.0055154,32.71717593
47,5,0,220,-116.013547,32.71726852
48,5,0,220.0041835,-116.0134626,32.71732852
49,5,0,219.9988363,-116.013376,32.71738577
50,5,0,220.0439298,-116.01327,32.71737741
51,5,0,219.9998137,-116.0131684,32.71740723
52,5,0,220.045582,-116.0130773,32.71746268
53,5,0,220.015314,-116.0129793,32.71750253
54,5,0,219.9987807,-116.0128859,32.71755119
55,5,0,219.997357,-116.0127885,32.71759114
56,5,0,220.0308281,-116.0127007,32.71765028
57,5,0,220.0005398,-116.0126001,32.7176853
58,5,0,220.0207224,-116.0125089,32.71773979
59,5,0,220.0933872,-116.0124133,32.71778611
60,5,0,219.9223868,-116.0123298,32.71784484
61,5,0,220.0207386,-116.0122276,32.71787359
62,5,0,220.0005058,-116.0121294,32.71788671
63,5,0,219.9876264,-116.0120241,32.71788137
64,5,0,219.9109598,-116.0119206,32.71789827
65,5,0,219.9989572,-116.0118554,32.71782812
66,5,0,219.9928758,-116.011894,32.71772972
67,5,0,220.0088983,-116.0119605,32.71764688
68,5,0,220.0005519,-116.0120238,32.71756101
69,5,0,219.9994254,-116.0120842,32.71747277
70,5,0,220.0096464,-116.0121481,32.71738743
71,5,0,219.9902466,-116.0122065,32.71729836
72,5,0,220.0001184,-116.0122674,32.71721052
73,5,0,220,-116.0122943,32.71717593
74,6,0,220.0002978,-116.0111585,32.71801033
75,6,0,220.0002978,-116.0111585,32.71801033
76,7,0,260,-116.0243285,32.71810185
77,7,0,260.0519879,-116.0242781,32.71812933
78,8,0,260,-116.0242069,32.71819445
79,8,0,260.0777962,-116.0241051,32.7182261
80,8,0,260.0359206,-116.0240023,32.71825359
81,8,0,260.0166675,-116.0239056,32.71828868
82,8,0,260.0803263,-116.0238173,32.71833894
83,8,0,259.925917,-116.0237672,32.71838617
84,8,0,260.0272806,-116.0238715,32.71840635
85,8,0,260.0932265,-116.0239773,32.71841717
86,8,0,260.0897386,-116.0240777,32.71841791
87,8,0,260.0772648,-116.0241836,32.7184116
88,8,0,259.9946525,-116.0242905,32.71841101
89,8,0,259.5477027,-116.0243643,32.71834744
90,8,0,260.0922166,-116.0244641,32.71831186
91,8,0,259.8607591,-116.0245461,32.71825222
92,8,0,260.0783331,-116.0246447,32.71821914
93,8,0,260.0044496,-116.0247218,32.71816779
94,8,0,259.9999997,-116.0247685,32.71812266
95,9,0,250.696772,-116.0219366,32.71823289
96,9,0,249.9999764,-116.0218314,32.71824139
97,9,0,250.0030997,-116.0217245,32.71823777
98,9,0,250.0042079,-116.021622,32.71820934
99,9,0,250,-116.0215934,32.71819445
100,10,0,258.7177108,-116.0233235,32.71834314
101,10,0,260.0051705,-116.0234287,32.71835371
102,10,0,260.0573936,-116.0235346,32.71834327
103,10,0,259.8754673,-116.0236285,32.71829867
104,10,0,260,-116.0236405,32.71828704
105,11,0,310.2200059,-116.0253129,32.72003517
106,11,0,309.9981882,-116.0252355,32.72010886
107,11,0,309.975189,-116.0251721,32.72019411
108,11,0,309.9945504,-116.0251219,32.72028831
