OBJECTID,ORIG_FID,Shape_Length,Longitude,Latitude,Z
1,1,0,-115.9980537,32.71615741,170
2,1,0,-115.99776,32.71625918,169.981645
3,1,0,-115.9975744,32.71615741,170
4,2,0,-116.0042305,32.71662037,190
5,2,0,-116.004064,32.71662037,190
6,3,0,-116.0090238,32.71699074,210
7,3,0,-116.0088028,32.71722262,210.0003925
8,3,0,-116.0086023,32.71747147,209.9974289
9,3,0,-116.0084221,32.71773597,210.0006338
10,3,0,-116.0081393,32.71786137,210.0814543
11,3,0,-116.0078439,32.71777565,209.9984923
12,3,0,-116.007531,32.71782556,210.0000557
13,3,0,-116.0073117,32.71768065,210.004139
14,3,0,-116.0075741,32.71752612,209.9886762
15,3,0,-116.0078631,32.71739359,210.0067117
16,3,0,-116.0080651,32.71715165,210.0032
17,3,0,-116.0081885,32.71689815,210
18,4,0,-116.0055154,32.71717593,190.0000004
19,4,0,-116.0055154,32.71717593,190.0000004
20,5,0,-116.013547,32.71726852,220
21,5,0,-116.01327,32.71737741,220.0439298
22,5,0,-116.0129793,32.71750253,220.015314
23,5,0,-116.0127007,32.71765028,220.0308281
24,5,0,-116.0124133,32.71778611,220.0933872
25,5,0,-116.0121294,32.71788671,220.0005058
26,5,0,-116.0118554,32.71782812,219.9989572
27,5,0,-116.0120238,32.71756101,220.0005519
28,5,0,-116.0122065,32.71729836,219.9902466
29,5,0,-116.0122943,32.71717593,220
30,6,0,-116.0111585,32.71801033,220.0002978
31,6,0,-116.0111585,32.71801033,220.0002978
32,7,0,-116.0243285,32.71810185,260
33,7,0,-116.0242781,32.71812933,260.0519879
34,8,0,-116.0242069,32.71819445,260
35,8,0,-116.0239056,32.71828868,260.0166675
36,8,0,-116.0238715,32.71840635,260.0272806
37,8,0,-116.0241836,32.7184116,260.0772648
38,8,0,-116.0244641,32.71831186,260.0922166
39,8,0,-116.0247218,32.71816779,260.0044496
40,8,0,-116.0247685,32.71812266,259.9999997
41,9,0,-116.0219366,32.71823289,250.696772
42,9,0,-116.021622,32.71820934,250.0042079
43,9,0,-116.0215934,32.71819445,250
44,10,0,-116.0233235,32.71834314,258.7177108
45,10,0,-116.0236285,32.71829867,259.8754673
46,10,0,-116.0236405,32.71828704,260
47,11,0,-116.0253129,32.72003517,310.2200059
48,11,0,-116.0251219,32.72028831,309.9945504
49,11,0,-116.0248326,32.72036534,310.0022442
50,11,0,-116.0245864,32.72021873,310.013307
51,11,0,-116.0248378,32.72004637,309.9999193
52,11,0,-116.0250704,32.71983615,310.0496993
53,11,0,-116.0251759,32.71971297,309.5993683
54,12,0,-116.0253975,32.72039751,300.3933401
55,12,0,-116.0252825,32.72069428,299.9999724
56,12,0,-116.0250281,32.72065768,299.9925961
57,12,0,-116.0247209,32.72058417,300.0003839
58,12,0,-116.0244276,32.72050311,299.9905412
59,12,0,-116.0243162,32.72020278,300.0084031
60,12,0,-116.0243058,32.71994731,300.0003801
61,12,0,-116.0246149,32.71986459,299.9990042
62,12,0,-116.0248256,32.71964468,299.9840559
63,12,0,-116.0248408,32.71932796,300.0252249
64,12,0,-116.0250463,32.71928362,299.9999997
65,13,0,-116.0219114,32.72052253,250.1001334
66,13,0,-116.0219114,32.72052253,250.1001334
67,14,0,-116.0228327,32.72060185,260.0000005
68,14,0,-116.0228327,32.72060185,260.0000005
69,15,0,-116.0210655,32.72069445,240.0000001
70,15,0,-116.0210655,32.72069445,240.0000001
71,16,0,-116.0255147,32.72097763,290.1234435
72,16,0,-116.025348,32.72124557,290.0053279
73,16,0,-116.0251116,32.72111945,289.9908076
74,16,0,-116.0249004,32.72088187,289.9999431
75,16,0,-116.0245903,32.72083641,290.0007536
76,16,0,-116.0243173,32.72099742,290.0101516
77,16,0,-116.0241173,32.72124788,290.0009355
78,16,0,-116.0238992,32.72148224,290.0011099
79,16,0,-116.0237477,32.72136718,289.999652
80,16,0,-116.0236243,32.72107992,290.0094035
81,16,0,-116.0238599,32.72087329,289.9946653
82,16,0,-116.0240823,32.72064443,289.9887496
83,16,0,-116.0240831,32.72033574,289.9998483
84,16,0,-116.0238942,32.72008849,290.003279
85,16,0,-116.0236289,32.71991796,289.9877581
86,16,0,-116.0237147,32.71968812,290.0114314
87,16,0,-116.0240333,32.71965577,289.9958026
88,16,0,-116.0243535,32.71965139,290.0009196
89,16,0,-116.0245107,32.71944179,290.0045173
90,16,0,-116.0243903,32.71914813,290.0106537
91,16,0,-116.0246483,32.71903151,290.0004621
92,16,0,-116.0249537,32.71899269,289.9999996
93,17,0,-116.0256313,32.72137204,280.4881016
94,17,0,-116.025368,32.7215512,279.9983637
95,17,0,-116.0250687,32.72155714,280.0168731
96,17,0,-116.0248672,32.7213097,279.9991515
97,17,0,-116.024656,32.72113085,280.0684927
98,17,0,-116.0244265,32.7213525,280.0086749
99,17,0,-116.0242074,32.72158435,279.997951
100,17,0,-116.0240921,32.72188174,279.9995187
101,17,0,-116.0239653,32.72217206,280.0053946
102,17,0,-116.0237018,32.72235131,279.9997655
103,17,0,-116.0234196,32.72247906,280.0066905
104,17,0,-116.0233889,32.72220999,280.0022297
105,17,0,-116.0234008,32.7218906,280.0034745
106,17,0,-116.0234859,32.72158206,280.000396
107,17,0,-116.0233946,32.72128513,279.9971393
108,17,0,-116.0231382,32.7211006,280.0065201
