OBJECTID,ORIG_FID,Id,Contour,Shape_Length,Longitude,Latitude
1,1,1,120,0,-115.9945426,32.7325089
2,2,2,120,0,-115.9942746,32.73352395
3,2,2,120,0,-115.9944304,32.73338646
4,2,2,120,0,-115.994319,32.73309367
5,3,3,120,0,-115.9940582,32.73368105
6,3,3,120,0,-115.9941041,32.73337279
7,3,3,120,0,-115.9941529,32.73306187
8,3,3,120,0,-115.9942743,32.73278664
9,3,3,120,0,-115.9944678,32.73262923
10,3,3,120,0,-115.9942705,32.73252401
11,3,3,120,0,-115.9943573,32.73242981
12,3,3,120,0,-115.99416,32.73247569
13,3,3,120,0,-115.9939006,32.73237289
14,4,4,120,0,-115.9946004,32.73501219
15,4,4,120,0,-115.9944482,32.73480373
16,4,4,120,0,-115.9943987,32.7346453
17,4,4,120,0,-115.9942158,32.73445901
18,4,4,120,0,-115.9941546,32.73421235
19,5,5,130,0,-115.9975539,32.73522957
20,5,5,130,0,-115.9974021,32.7349572
21,5,5,130,0,-115.9972675,32.73468218
22,5,5,130,0,-115.9971594,32.73454159
23,5,5,130,0,-115.9971233,32.73439075
24,5,5,130,0,-115.9969888,32.73411526
25,5,5,130,0,-115.9967483,32.73408987
26,5,5,130,0,-115.9964285,32.73410845
27,5,5,130,0,-115.9961139,32.73414314
28,5,5,130,0,-115.9958065,32.73414061
29,5,5,130,0,-115.9957372,32.7340676
30,5,5,130,0,-115.9960222,32.73397527
31,5,5,130,0,-115.9963202,32.73387666
32,5,5,130,0,-115.9965578,32.73372019
33,5,5,130,0,-115.9962471,32.73370722
34,5,5,130,0,-115.9959372,32.73376865
35,5,5,130,0,-115.9956186,32.73376525
36,5,5,130,0,-115.9957505,32.73366077
37,5,5,130,0,-115.9960091,32.73351448
38,5,5,130,0,-115.9962892,32.73341591
39,5,5,130,0,-115.9965826,32.73329838
40,5,5,130,0,-115.9967316,32.7330956
41,5,5,130,0,-115.9968113,32.73298661
42,5,5,130,0,-115.9965371,32.73282844
43,5,5,130,0,-115.9964408,32.73253539
44,5,5,130,0,-115.9963111,32.73229611
45,5,5,130,0,-115.9960995,32.73210051
46,6,6,140,0,-116.0006202,32.73457171
47,6,6,140,0,-116.0003806,32.73435985
48,6,6,140,0,-116.0001844,32.73410668
49,6,6,140,0,-115.9999945,32.73389286
50,6,6,140,0,-115.9998208,32.73366679
51,6,6,140,0,-115.9995467,32.73350985
52,6,6,140,0,-115.999301,32.73330665
53,6,6,140,0,-115.9991336,32.73305258
54,6,6,140,0,-115.999157,32.7328182
55,6,6,140,0,-115.9994256,32.73264566
56,6,6,140,0,-115.9992183,32.73245396
57,6,6,140,0,-115.9989187,32.73254522
58,6,6,140,0,-115.9986022,32.73256287
59,6,6,140,0,-115.9983836,32.73236203
60,6,6,140,0,-115.9983795,32.73206435
61,6,6,140,0,-115.9984427,32.73182907
62,6,6,140,0,-115.9981634,32.73178971
63,6,6,140,0,-115.9979361,32.73190784
64,6,6,140,0,-115.9976523,32.73182352
65,6,6,140,0,-115.9973889,32.7316839
66,6,6,140,0,-115.9970775,32.73162477
67,9,9,150,0,-115.9966185,32.72655251
68,10,10,150,0,-115.9968335,32.72667233
69,10,10,150,0,-115.9967932,32.72657266
70,10,10,150,0,-115.9970559,32.72654947
71,10,10,150,0,-115.9968417,32.72634593
72,10,10,150,0,-115.9966581,32.72619925
73,10,10,150,0,-115.9964888,32.7260784
74,10,10,150,0,-115.9962688,32.72593954
75,10,10,150,0,-115.9960293,32.72576299
76,10,10,150,0,-115.9957851,32.72556957
77,10,10,150,0,-115.9956596,32.72540546
78,10,10,150,0,-115.9954466,32.72532061
79,10,10,150,0,-115.9951706,32.72531309
80,10,10,150,0,-115.994896,32.72515
81,10,10,150,0,-115.9948,32.72499798
82,10,10,150,0,-115.9947308,32.72483511
83,10,10,150,0,-115.9945326,32.72472243
84,10,10,150,0,-115.9943835,32.72454075
85,10,10,150,0,-115.9942194,32.72430163
86,10,10,150,0,-115.9945097,32.72418802
87,10,10,150,0,-115.9947486,32.72411947
88,10,10,150,0,-115.9944576,32.72399233
89,12,12,150,0,-116.00401,32.73406831
90,12,12,150,0,-116.0038401,32.73382324
91,12,12,150,0,-116.0035602,32.73368705
92,12,12,150,0,-116.0033685,32.73351966
93,12,12,150,0,-116.0032033,32.73330238
94,12,12,150,0,-116.0028952,32.73330249
95,12,12,150,0,-116.0030061,32.73313932
96,12,12,150,0,-116.0028899,32.73294574
97,12,12,150,0,-116.0026349,32.73284427
98,12,12,150,0,-116.0023204,32.73283979
99,12,12,150,0,-116.0020673,32.7328083
100,12,12,150,0,-116.0023087,32.73265391
101,12,12,150,0,-116.0022377,32.73257667
102,12,12,150,0,-116.0019211,32.73258204
103,12,12,150,0,-116.0017755,32.73246803
104,12,12,150,0,-116.0020576,32.73234403
105,12,12,150,0,-116.0022748,32.73214362
106,12,12,150,0,-116.0021728,32.73200686
107,12,12,150,0,-116.0019543,32.73183301
108,12,12,150,0,-116.001872,32.73159346
109,12,12,150,0,-116.0015703,32.73162289
110,12,12,150,0,-116.0013286,32.73173591
111,12,12,150,0,-116.0012567,32.73147573
112,12,12,150,0,-116.0012287,32.7312104
113,12,12,150,0,-116.0009362,32.7312703
114,12,12,150,0,-116.0006178,32.73126072
115,12,12,150,0,-116.0003257,32.73113278
116,13,13,160,0,-116.0002442,32.72702762
117,13,13,160,0,-116.000008,32.72683389
118,13,13,160,0,-115.9997841,32.72664916
119,13,13,160,0,-115.9996324,32.72640618
120,13,13,160,0,-115.9993265,32.72636327
121,13,13,160,0,-115.9992566,32.7260969
122,13,13,160,0,-115.999343,32.72579013
123,13,13,160,0,-115.9992874,32.72549611
124,13,13,160,0,-115.998995,32.72537227
125,13,13,160,0,-115.9987851,32.72513311
126,13,13,160,0,-115.9986367,32.72490612
127,13,13,160,0,-115.9984281,32.72468385
128,13,13,160,0,-115.9981552,32.72453864
129,13,13,160,0,-115.9979486,32.72431326
130,13,13,160,0,-115.9978241,32.72406134
131,13,13,160,0,-115.9976639,32.72383557
132,13,13,160,0,-115.9974808,32.72358841
133,14,14,160,0,-116.0058189,32.73154134
134,14,14,160,0,-116.0056285,32.73160558
135,16,16,160,0,-116.0074145,32.73340482
136,16,16,160,0,-116.0075943,32.73317203
137,16,16,160,0,-116.0075325,32.73287082
138,16,16,160,0,-116.0072692,32.73276552
139,16,16,160,0,-116.0071205,32.73268244
140,16,16,160,0,-116.007069,32.73242482
141,16,16,160,0,-116.0067541,32.73238837
142,16,16,160,0,-116.0069324,32.73224522
143,16,16,160,0,-116.0068016,32.73212791
144,16,16,160,0,-116.0065258,32.73217594
145,16,16,160,0,-116.0062112,32.73216656
146,16,16,160,0,-116.0058935,32.73216708
147,16,16,160,0,-116.0058372,32.73203382
148,16,16,160,0,-116.0057782,32.73188938
149,16,16,160,0,-116.0054922,32.731898
150,16,16,160,0,-116.0052489,32.73187259
151,16,16,160,0,-116.0055043,32.73170932
152,16,16,160,0,-116.005346,32.73148884
153,16,16,160,0,-116.0050665,32.73138131
154,16,16,160,0,-116.0048911,32.73118782
155,16,16,160,0,-116.0046809,32.73095324
156,16,16,160,0,-116.004433,32.73076233
157,16,16,160,0,-116.0041987,32.7305604
158,17,17,170,0,-116.0027699,32.72719534
159,17,17,170,0,-116.0027152,32.72692091
160,17,17,170,0,-116.0026824,32.72685211
161,17,17,170,0,-116.0024021,32.72687205
162,17,17,170,0,-116.0022644,32.72661245
163,17,17,170,0,-116.002359,32.72635109
164,17,17,170,0,-116.0023699,32.72611663
165,17,17,170,0,-116.0021979,32.72591251
166,17,17,170,0,-116.0021346,32.72578417
167,17,17,170,0,-116.0018999,32.72563691
168,17,17,170,0,-116.0016729,32.72542992
169,17,17,170,0,-116.0015231,32.72522835
170,17,17,170,0,-116.0014038,32.7249437
171,17,17,170,0,-116.0013552,32.72465572
172,17,17,170,0,-116.0013407,32.72438938
173,17,17,170,0,-116.0013973,32.72409083
174,17,17,170,0,-116.0012855,32.72379688
175,17,17,170,0,-116.0009971,32.72381173
176,17,17,170,0,-116.0007108,32.72370481
177,19,19,170,0,-116.0131626,32.73222385
178,19,19,170,0,-116.0129717,32.73213525
179,19,19,170,0,-116.0126904,32.73225187
180,19,19,170,0,-116.0124503,32.73231865
181,19,19,170,0,-116.0122165,32.73235568
182,19,19,170,0,-116.0119722,32.73250564
183,19,19,170,0,-116.0117494,32.7326486
184,19,19,170,0,-116.0114508,32.73272524
185,19,19,170,0,-116.0111611,32.73275462
186,19,19,170,0,-116.0108551,32.73280718
187,19,19,170,0,-116.0106211,32.73286123
188,19,19,170,0,-116.0104045,32.73295306
189,19,19,170,0,-116.0102652,32.73292265
190,19,19,170,0,-116.0100248,32.73279175
191,19,19,170,0,-116.009813,32.73261069
192,19,19,170,0,-116.0098278,32.73236475
193,19,19,170,0,-116.0096954,32.73209645
194,19,19,170,0,-116.0098311,32.73187535
195,19,19,170,0,-116.0101206,32.73175762
196,19,19,170,0,-116.0104056,32.73166558
197,19,19,170,0,-116.0104406,32.73151766
198,19,19,170,0,-116.0101303,32.73144459
199,19,19,170,0,-116.0098322,32.73134875
200,19,19,170,0,-116.0101098,32.73121423
201,19,19,170,0,-116.0101275,32.73108906
202,19,19,170,0,-116.0098105,32.73108242
203,19,19,170,0,-116.0099124,32.73093796
204,19,19,170,0,-116.0101491,32.73079506
205,19,19,170,0,-116.0099001,32.73068273
206,19,19,170,0,-116.0095812,32.73066989
207,19,19,170,0,-116.0092789,32.73062408
208,19,19,170,0,-116.0091855,32.73041673
209,19,19,170,0,-116.0089353,32.73060495
210,19,19,170,0,-116.0086209,32.73059559
211,19,19,170,0,-116.0083202,32.7305557
212,19,19,170,0,-116.008009,32.73061981
213,19,19,170,0,-116.0077946,32.73051451
214,19,19,170,0,-116.0080303,32.73031241
215,19,19,170,0,-116.0083163,32.73020503
216,19,19,170,0,-116.0082726,32.72992507
217,19,19,170,0,-116.0080002,32.72981198
218,19,19,170,0,-116.0077012,32.72989153
219,19,19,170,0,-116.0074267,32.72976029
220,20,20,180,0,-116.00508,32.72544916
221,21,21,180,0,-116.0089719,32.72762283
222,21,21,180,0,-116.008679,32.72753494
223,21,21,180,0,-116.0084608,32.72730664
224,21,21,180,0,-116.0081589,32.72720835
225,21,21,180,0,-116.0078882,32.72709197
226,21,21,180,0,-116.0075899,32.72707098
227,21,21,180,0,-116.0073747,32.72687821
228,21,21,180,0,-116.0071151,32.72670986
229,21,21,180,0,-116.0068185,32.72661792
230,21,21,180,0,-116.0065931,32.72645198
231,21,21,180,0,-116.0063758,32.72646323
232,21,21,180,0,-116.0062439,32.7263539
233,21,21,180,0,-116.0060158,32.72635208
234,21,21,180,0,-116.0059224,32.72630572
235,21,21,180,0,-116.0056828,32.72634704
236,21,21,180,0,-116.005587,32.72624373
237,21,21,180,0,-116.0057094,32.72597607
238,21,21,180,0,-116.0054687,32.72613224
239,21,21,180,0,-116.0052029,32.72605106
240,21,21,180,0,-116.0050878,32.7257695
241,21,21,180,0,-116.0048008,32.72584956
242,21,21,180,0,-116.0046036,32.7260941
243,21,21,180,0,-116.0043974,32.72597165
244,21,21,180,0,-116.0041276,32.72583046
245,21,21,180,0,-116.0041439,32.72553463
246,21,21,180,0,-116.0039449,32.72532499
247,21,21,180,0,-116.0037155,32.7251936
248,21,21,180,0,-116.0036913,32.72489822
249,21,21,180,0,-116.0036849,32.72458343
250,21,21,180,0,-116.0037726,32.72430221
251,21,21,180,0,-116.0036011,32.72405821
252,22,22,180,0,-116.0060132,32.72726043
253,22,22,180,0,-116.0062587,32.72730714
254,24,24,180,0,-116.0111982,32.72914022
255,24,24,180,0,-116.0109111,32.72927976
256,24,24,180,0,-116.0106435,32.72945271
257,24,24,180,0,-116.0104027,32.7296626
258,24,24,180,0,-116.0101846,32.72989686
259,24,24,180,0,-116.0099344,32.72982707
260,24,24,180,0,-116.0099179,32.72953406
261,24,24,180,0,-116.0101597,32.72933002
262,24,24,180,0,-116.0104371,32.72919675
263,24,24,180,0,-116.0107539,32.72917655
264,24,24,180,0,-116.0110392,32.7290488
265,27,27,180,0,-116.0167501,32.73091051
266,27,27,180,0,-116.0165406,32.73073883
267,27,27,180,0,-116.0163833,32.73063403
268,27,27,180,0,-116.0164258,32.73038754
269,27,27,180,0,-116.0161159,32.73037335
270,27,27,180,0,-116.0159045,32.73018244
271,27,27,180,0,-116.0156032,32.73010006
272,27,27,180,0,-116.0153861,32.72998823
273,27,27,180,0,-116.0150797,32.7300814
274,27,27,180,0,-116.014777,32.73018558
275,27,27,180,0,-116.0144646,32.73025479
276,27,27,180,0,-116.0142569,32.73020529
277,27,27,180,0,-116.0143836,32.73002105
278,27,27,180,0,-116.0141955,32.73001292
279,27,27,180,0,-116.0144348,32.72984256
280,27,27,180,0,-116.0147226,32.72970719
281,27,27,180,0,-116.0150043,32.72955945
282,27,27,180,0,-116.0151611,32.72935723
283,27,27,180,0,-116.015101,32.72909918
284,27,27,180,0,-116.0150192,32.72901826
285,27,27,180,0,-116.0148808,32.72884603
286,27,27,180,0,-116.0146684,32.72902738
287,27,27,180,0,-116.014516,32.72885221
288,27,27,180,0,-116.0145439,32.72862506
289,27,27,180,0,-116.0147694,32.72844081
290,27,27,180,0,-116.0145358,32.72836782
291,27,27,180,0,-116.0142499,32.72850343
292,27,27,180,0,-116.0139903,32.72866934
293,27,27,180,0,-116.0137131,32.72881646
294,27,27,180,0,-116.0134033,32.72884021
